instr address,(r)ead/(w)rite,data size,data address
0x155555112ae8,r,1,0x15555532a5d8
0x155555112aed,r,8,0x15555532a5e0
0x155555112af6,r,1,0x155555121e72
0x155555112af9,r,1,0x7fffffffdb9b
0x155555112ae8,r,1,0x15555532a610
0x155555112aed,r,8,0x15555532a618
0x155555112ae8,r,1,0x15555532a648
0x155555112aed,r,8,0x15555532a650
0x155555112ae8,r,1,0x15555532a680
0x155555112aed,r,8,0x15555532a688
0x155555112ae8,r,1,0x15555532a6b8
0x155555112aed,r,8,0x15555532a6c0
0x155555112af6,r,1,0x155555121eab
0x155555112af9,r,1,0x7fffffffdb9b
0x155555112ae8,r,1,0x15555532a6f0
0x155555112aed,r,8,0x15555532a6f8
0x155555112af6,r,1,0x155555121ecf
0x155555112af9,r,1,0x7fffffffdb9b
0x155555112ae8,r,1,0x15555532a728
0x155555112aed,r,8,0x15555532a730
0x155555112ae8,r,1,0x15555532a760
0x155555112aed,r,8,0x15555532a768
0x155555112ae8,r,1,0x15555532a798
0x155555112aed,r,8,0x15555532a7a0
0x155555112ae8,r,1,0x15555532a7d0
0x155555112aed,r,8,0x15555532a7d8
0x155555112ae8,r,1,0x15555532a808
0x155555112aed,r,8,0x15555532a810
0x155555112ae8,r,1,0x15555532a840
0x155555112aed,r,8,0x15555532a848
0x155555112af6,r,1,0x155555121f1a
0x155555112af9,r,1,0x7fffffffdb9b
0x155555112ae8,r,1,0x15555532a878
0x155555112aed,r,8,0x15555532a880
0x155555112af6,r,1,0x155555121f47
0x155555112af9,r,1,0x7fffffffdb9b
0x155555112ae8,r,1,0x15555532a8b0
0x155555112aed,r,8,0x15555532a8b8
0x155555112ae8,r,1,0x15555532a8e8
0x155555112aed,r,8,0x15555532a8f0
0x155555112ae8,r,1,0x15555532a920
0x155555112aed,r,8,0x15555532a928
0x155555112af6,r,1,0x155555121fae
0x155555112af9,r,1,0x7fffffffdb9b
0x155555112ae8,r,1,0x15555532a958
0x155555112aed,r,8,0x15555532a960
0x155555112ae8,r,1,0x15555532a990
0x155555112aed,r,8,0x15555532a998
0x155555112ae8,r,1,0x15555532a9c8
0x155555112aed,r,8,0x15555532a9d0
0x155555112af6,r,1,0x155555121feb
